id,category,name,price_tier,neighborhood,opening hour,closing hour,average_rating,good_for_kids
336,Spanish,MayRee,Medium,Lower East Side,9:00,17:00,4,FALSE
337,Korean,Don Angie,Cheap,East Village,9:00,18:00,5,TRUE
338,Chinese,Big Wong,Cheap,Little Italy,11:00,20:00,5,FALSE
339,Thai,Kimura,Cheap,Upper West Side,9:00,20:00,5,FALSE
340,Korean,Tartinery,Expensive,Upper West Side,9:00,18:00,1,TRUE
341,Spanish,Bo Ky,Medium,Tribeca,11:30,16:00,2,FALSE
342,Spanish,Bo Ky,Medium,Lower East Side,10:00,18:00,3,FALSE
343,Mexican,Wendy's,Expensive,West Village,9:30,20:00,3,TRUE
344,Korean,Hello Saigon,Expensive,Flushing,9:00,17:00,1,TRUE
345,Italian,ilili,Medium,Lower East Side,9:00,16:00,4,TRUE
346,Thai,MayRee,Cheap,Lower East Side,10:00,18:00,3,TRUE
347,Indian,Antoya,Medium,Chelsea,10:00,17:00,4,FALSE
348,Korean,Chipotle,Expensive,Upper West Side,9:30,20:00,4,TRUE
349,Spanish,Hello Saigon,Medium,Little Italy,11:30,18:00,3,FALSE
350,Japanese,Antoya,Expensive,Upper East Side,10:00,17:00,5,FALSE
351,Indian,Hello Saigon,Expensive,Greenwich Village,9:00,18:00,5,FALSE
352,Spanish,Tartinery,Medium,Greenwich Village,10:00,17:00,2,FALSE
353,Japanese,Fish Cheeks,Expensive,West Village,11:00,21:00,5,FALSE
354,Thai,Five Guys,Expensive,Gramercy,9:30,20:00,3,FALSE
355,Mexican,Witherspoon Grill,Cheap,Upper West Side,11:30,18:00,4,TRUE
356,Indian,Essential by Chris,Expensive,Lower East Side,9:30,17:00,3,FALSE
357,Spanish,Fish Cheeks,Medium,Tribeca,9:30,20:00,2,TRUE
358,Mexican,ilili,Expensive,East Village,10:00,21:00,1,TRUE
359,Indian,Essential by Chris,Expensive,Little Italy,10:00,17:00,2,FALSE
360,Korean,Su Jeo,Cheap,Gramercy,11:30,20:00,4,TRUE
361,Italian,ilili,Medium,West Village,9:30,17:00,3,TRUE
362,Japanese,Kimura,Medium,Greenwich Village,10:30,18:00,4,TRUE
363,Thai,Hello Saigon,Expensive,West Village,11:30,20:00,4,FALSE
364,Korean,Su Jeo,Cheap,Little Italy,9:30,20:00,1,TRUE
365,Japanese,Tartinery,Cheap,Flushing,11:30,17:00,2,FALSE
366,Mexican,Gelso & Grand,Cheap,Soho,9:00,17:00,1,FALSE
367,Japanese,Five Guys,Expensive,Soho,10:00,20:00,1,TRUE
368,Thai,Hello Saigon,Expensive,Upper East Side,9:00,18:00,4,FALSE
369,Mexican,Essential by Chris,Cheap,Chelsea,11:00,18:00,5,FALSE
370,Chinese,MayRee,Expensive,East Village,10:00,21:00,5,TRUE
371,Indian,MayRee,Expensive,Chelsea,9:30,17:00,4,TRUE
372,Spanish,Bonqueria,Cheap,West Village,11:30,20:00,4,FALSE
373,Indian,Fish Cheeks,Medium,Little Italy,9:30,20:00,4,FALSE
374,Chinese,ilili,Medium,Little Italy,11:30,20:00,4,FALSE
375,Spanish,Gelso & Grand,Medium,Flushing,10:00,18:00,5,TRUE
376,Italian,Bo Ky,Cheap,Upper East Side,9:00,16:00,5,TRUE
377,Indian,Wendy's,Expensive,East Village,11:00,17:00,3,FALSE
378,Spanish,Tartinery,Cheap,Tribeca,9:00,20:00,2,TRUE
379,Chinese,Fish Cheeks,Expensive,West Village,9:00,17:00,2,TRUE
380,Italian,Antoya,Medium,East Village,10:30,20:00,5,FALSE
381,Indian,Antoya,Cheap,Soho,10:30,17:00,1,TRUE
382,Spanish,Bonqueria,Expensive,Chelsea,11:30,21:00,5,TRUE
383,Italian,Bo Ky,Medium,East Village,11:00,21:00,2,TRUE
384,Indian,Antoya,Cheap,East Village,11:00,21:00,4,FALSE
385,Japanese,Big Wong,Expensive,Lower East Side,11:30,17:00,3,TRUE
386,Chinese,Hello Saigon,Medium,Soho,11:30,21:00,4,FALSE
387,Spanish,Su Jeo,Expensive,Flushing,11:30,16:00,4,TRUE
388,Thai,Gelso & Grand,Expensive,Tribeca,9:00,20:00,5,FALSE
389,Indian,Tartinery,Medium,Upper West Side,11:30,18:00,2,TRUE
390,Korean,Five Guys,Medium,Tribeca,9:30,17:00,5,TRUE
391,Spanish,Bonqueria,Expensive,Gramercy,10:00,16:00,2,TRUE
392,Italian,Five Guys,Cheap,Tribeca,11:00,21:00,1,TRUE
393,Thai,Essential by Chris,Cheap,West Village,11:00,18:00,1,TRUE
394,Thai,Hello Saigon,Cheap,East Village,11:00,18:00,1,TRUE
395,Spanish,Su Jeo,Medium,East Village,11:00,18:00,2,TRUE
396,Indian,Don Angie,Cheap,Flushing,9:30,17:00,5,FALSE
397,Spanish,Temple Court,Expensive,Lower East Side,11:30,17:00,1,TRUE
398,Japanese,Don Angie,Medium,Chelsea,11:00,18:00,2,FALSE
399,Korean,Chipotle,Cheap,Chelsea,9:00,21:00,1,TRUE
400,Chinese,Witherspoon Grill,Medium,Little Italy,9:00,18:00,2,TRUE
401,Mexican,Witherspoon Grill,Medium,Upper East Side,11:30,20:00,5,TRUE
402,Korean,Tartinery,Medium,Chelsea,9:30,21:00,2,FALSE
403,Japanese,Tartinery,Cheap,West Village,11:30,18:00,5,FALSE
404,Chinese,ilili,Medium,Tribeca,11:30,20:00,3,FALSE
405,Thai,Wendy's,Expensive,Upper East Side,11:30,18:00,2,FALSE
406,Japanese,Fish Cheeks,Cheap,Gramercy,9:30,20:00,2,FALSE
407,Chinese,Bo Ky,Expensive,Greenwich Village,10:00,17:00,5,FALSE
408,Mexican,Big Wong,Medium,Upper East Side,11:30,16:00,2,TRUE
409,Thai,Kimura,Cheap,Greenwich Village,11:00,17:00,3,FALSE
410,Chinese,Five Guys,Expensive,Upper East Side,11:30,20:00,5,TRUE
411,Mexican,Wendy's,Medium,Little Italy,9:30,18:00,3,FALSE
412,Chinese,Fish Cheeks,Expensive,Gramercy,10:00,16:00,4,TRUE
413,Japanese,Gelso & Grand,Medium,Lower East Side,9:30,18:00,5,TRUE
414,Mexican,Five Guys,Expensive,Gramercy,10:00,21:00,2,TRUE
415,Japanese,Su Jeo,Expensive,Flushing,11:30,16:00,4,TRUE
416,Italian,Five Guys,Medium,Lower East Side,11:30,18:00,1,FALSE
417,Italian,Su Jeo,Medium,Little Italy,11:30,20:00,1,TRUE
418,Italian,Bo Ky,Cheap,Lower East Side,9:00,18:00,4,FALSE
419,Thai,Fish Cheeks,Medium,Upper East Side,10:00,17:00,4,FALSE
420,Spanish,Antoya,Medium,Soho,9:00,17:00,4,TRUE
421,Spanish,Chipotle,Medium,East Village,10:00,16:00,1,TRUE
422,Korean,Five Guys,Expensive,Tribeca,9:30,16:00,3,FALSE
423,Japanese,Tartinery,Medium,Soho,11:00,16:00,5,FALSE
424,Thai,Witherspoon Grill,Expensive,Upper East Side,10:00,16:00,2,TRUE
425,Japanese,Bonqueria,Expensive,Lower East Side,9:30,17:00,4,TRUE
426,Mexican,Five Guys,Cheap,Little Italy,11:30,18:00,5,FALSE
427,Japanese,Kimura,Medium,Little Italy,11:30,16:00,1,TRUE
428,Spanish,Hello Saigon,Expensive,Little Italy,9:30,18:00,4,TRUE
429,Chinese,Wendy's,Cheap,West Village,11:30,16:00,3,TRUE
430,Thai,Temple Court,Cheap,West Village,10:30,17:00,1,FALSE
431,Italian,Five Guys,Medium,Greenwich Village,10:00,16:00,5,FALSE
432,Spanish,Witherspoon Grill,Cheap,Greenwich Village,11:30,17:00,4,FALSE
433,Korean,Take31,Cheap,Upper East Side,11:00,16:00,1,TRUE
434,Spanish,Fish Cheeks,Expensive,West Village,9:30,17:00,3,FALSE
435,Korean,Chipotle,Expensive,Greenwich Village,9:00,17:00,5,TRUE
436,Chinese,Chipotle,Medium,Soho,9:30,21:00,1,TRUE
437,Indian,Big Wong,Expensive,Upper East Side,10:00,17:00,1,TRUE
438,Spanish,Tartinery,Cheap,Greenwich Village,10:00,17:00,3,TRUE
439,Spanish,Take31,Expensive,Upper East Side,9:00,18:00,4,FALSE
440,Spanish,Don Angie,Cheap,Gramercy,9:00,21:00,3,FALSE
441,Italian,Big Wong,Expensive,Little Italy,10:00,16:00,5,TRUE
442,Japanese,Witherspoon Grill,Expensive,Flushing,11:00,20:00,1,TRUE
443,Chinese,Don Angie,Medium,Little Italy,10:00,18:00,1,FALSE
444,Japanese,Bo Ky,Cheap,Gramercy,9:30,17:00,1,FALSE
445,Japanese,Chipotle,Expensive,Flushing,11:00,20:00,3,FALSE
446,Chinese,Essential by Chris,Medium,Soho,11:00,17:00,1,TRUE
447,Korean,Bonqueria,Medium,Gramercy,10:30,20:00,5,TRUE
448,Korean,Antoya,Expensive,Chelsea,9:00,20:00,1,TRUE
449,Thai,Big Wong,Expensive,Flushing,9:30,17:00,4,FALSE
450,Spanish,Gelso & Grand,Cheap,Tribeca,10:00,20:00,2,FALSE
451,Spanish,MayRee,Expensive,Flushing,11:00,16:00,5,TRUE
452,Korean,Chipotle,Expensive,Soho,9:00,17:00,3,FALSE
453,Spanish,Hello Saigon,Medium,Upper East Side,10:30,20:00,5,TRUE
454,Chinese,Bonqueria,Expensive,Tribeca,9:30,16:00,5,FALSE
455,Indian,Fish Cheeks,Medium,Upper West Side,10:00,17:00,1,TRUE
456,Chinese,Gelso & Grand,Cheap,Lower East Side,11:00,20:00,3,TRUE
457,Chinese,Tartinery,Cheap,Soho,11:30,21:00,4,TRUE
458,Japanese,Five Guys,Cheap,Greenwich Village,10:00,20:00,2,FALSE
459,Italian,Essential by Chris,Expensive,Gramercy,11:00,18:00,1,TRUE
460,Japanese,ilili,Medium,Chelsea,11:00,16:00,5,TRUE
461,Mexican,Bo Ky,Medium,Greenwich Village,9:00,17:00,2,FALSE
462,Indian,Bo Ky,Cheap,East Village,11:30,17:00,4,TRUE
463,Mexican,Fish Cheeks,Medium,Chelsea,9:00,17:00,1,TRUE
464,Spanish,Hello Saigon,Medium,Greenwich Village,9:30,17:00,2,FALSE
465,Chinese,Bonqueria,Cheap,Greenwich Village,9:30,16:00,5,FALSE
466,Spanish,Tartinery,Cheap,Tribeca,9:30,17:00,1,FALSE
467,Indian,Tartinery,Medium,Greenwich Village,9:30,18:00,3,TRUE
468,Korean,Bonqueria,Medium,Gramercy,11:30,21:00,5,FALSE
469,Thai,Don Angie,Expensive,Lower East Side,9:00,20:00,2,TRUE
470,Korean,Don Angie,Expensive,Flushing,11:00,16:00,3,TRUE
471,Chinese,Take31,Medium,West Village,11:30,17:00,5,FALSE
472,Mexican,MayRee,Medium,Tribeca,11:00,20:00,2,TRUE
473,Italian,Su Jeo,Cheap,Upper West Side,9:30,18:00,3,FALSE
474,Japanese,Kimura,Expensive,Lower East Side,9:30,16:00,5,TRUE
475,Japanese,Kimura,Expensive,Greenwich Village,9:30,18:00,1,FALSE
476,Mexican,Witherspoon Grill,Medium,Lower East Side,9:30,20:00,4,FALSE
477,Spanish,Kimura,Cheap,Flushing,11:30,20:00,2,TRUE
478,Chinese,Five Guys,Cheap,Chelsea,9:00,17:00,2,FALSE
479,Mexican,Five Guys,Expensive,Gramercy,10:00,21:00,2,FALSE
480,Japanese,ilili,Medium,East Village,11:00,16:00,1,TRUE
481,Japanese,Essential by Chris,Cheap,Soho,10:00,16:00,5,FALSE
482,Japanese,Tartinery,Cheap,Flushing,11:30,21:00,5,FALSE
483,Thai,Fish Cheeks,Expensive,Chelsea,11:30,18:00,2,TRUE
484,Japanese,Antoya,Expensive,Tribeca,10:00,18:00,5,FALSE
485,Japanese,Take31,Medium,Little Italy,9:00,16:00,4,TRUE
486,Thai,Kimura,Medium,Upper West Side,11:00,17:00,3,FALSE
487,Korean,ilili,Medium,West Village,11:30,20:00,3,FALSE
488,Spanish,Gelso & Grand,Cheap,Upper East Side,10:00,17:00,4,TRUE
489,Italian,Don Angie,Expensive,West Village,11:30,17:00,1,FALSE
490,Japanese,Su Jeo,Medium,Tribeca,11:00,20:00,5,FALSE
491,Japanese,Don Angie,Cheap,Lower East Side,9:30,20:00,5,FALSE
492,Spanish,Five Guys,Medium,Upper West Side,11:30,18:00,2,FALSE
493,Mexican,Bo Ky,Cheap,Lower East Side,11:00,20:00,1,FALSE
494,Japanese,Su Jeo,Cheap,Upper West Side,10:00,16:00,5,TRUE
495,Indian,Five Guys,Expensive,Flushing,10:00,17:00,3,TRUE
496,Indian,Witherspoon Grill,Medium,Soho,11:00,16:00,2,FALSE
497,Italian,MayRee,Medium,Flushing,9:30,20:00,3,FALSE
498,Spanish,Hello Saigon,Cheap,Lower East Side,11:30,16:00,1,TRUE
499,Mexican,Temple Court,Medium,East Village,11:30,20:00,5,FALSE
500,Indian,ilili,Cheap,Soho,11:00,18:00,2,FALSE
501,Chinese,Don Angie,Expensive,West Village,9:00,16:00,1,TRUE
502,Korean,Witherspoon Grill,Medium,Upper West Side,11:00,16:00,4,TRUE
503,Japanese,Kimura,Cheap,West Village,11:30,17:00,2,FALSE
504,Chinese,Take31,Expensive,Upper West Side,10:00,17:00,4,FALSE
505,Korean,Antoya,Cheap,Soho,9:00,18:00,3,TRUE
506,Japanese,Tartinery,Expensive,Gramercy,9:30,16:00,1,TRUE
507,Chinese,Don Angie,Expensive,Greenwich Village,11:30,17:00,5,FALSE
508,Mexican,Five Guys,Medium,Tribeca,9:30,18:00,1,FALSE
509,Korean,Five Guys,Medium,Greenwich Village,9:30,18:00,2,FALSE
510,Spanish,Hello Saigon,Medium,West Village,10:00,16:00,1,TRUE
511,Korean,Antoya,Expensive,Gramercy,10:00,20:00,5,FALSE
512,Korean,Witherspoon Grill,Cheap,Lower East Side,11:00,16:00,2,FALSE
513,Italian,Temple Court,Expensive,East Village,9:30,16:00,1,TRUE
514,Chinese,Essential by Chris,Medium,East Village,9:00,17:00,1,TRUE
515,Thai,Witherspoon Grill,Expensive,Soho,9:00,20:00,3,TRUE
516,Thai,Bonqueria,Cheap,Tribeca,9:00,20:00,4,FALSE
517,Mexican,ilili,Medium,West Village,10:00,21:00,1,FALSE
518,Mexican,Don Angie,Medium,Upper East Side,11:30,18:00,5,FALSE
519,Indian,Kimura,Cheap,Gramercy,11:00,17:00,1,FALSE
520,Korean,Essential by Chris,Cheap,Little Italy,9:00,20:00,1,FALSE
521,Chinese,Gelso & Grand,Expensive,West Village,11:00,20:00,1,FALSE
522,Thai,Hello Saigon,Medium,Soho,10:30,21:00,3,FALSE
523,Italian,Chipotle,Expensive,Flushing,10:30,20:00,1,FALSE
524,Mexican,Fish Cheeks,Cheap,West Village,9:00,20:00,4,TRUE
525,Korean,Big Wong,Cheap,Flushing,9:00,18:00,4,FALSE
526,Thai,Gelso & Grand,Expensive,Gramercy,9:30,20:00,5,TRUE
527,Indian,Chipotle,Medium,Gramercy,9:30,21:00,1,TRUE
528,Spanish,Hello Saigon,Medium,Tribeca,9:30,18:00,1,FALSE
529,Chinese,Wendy's,Medium,Lower East Side,9:30,17:00,1,FALSE
530,Mexican,Take31,Cheap,Lower East Side,10:00,18:00,5,FALSE
531,Thai,ilili,Cheap,Upper East Side,9:00,17:00,1,TRUE
532,Japanese,Fish Cheeks,Cheap,Gramercy,11:00,18:00,3,FALSE
533,Indian,Witherspoon Grill,Expensive,Tribeca,9:30,17:00,5,TRUE
534,Thai,MayRee,Expensive,Greenwich Village,9:00,20:00,1,FALSE
535,Chinese,Tartinery,Cheap,Little Italy,11:30,17:00,4,FALSE
536,Indian,Essential by Chris,Cheap,Soho,9:30,18:00,4,FALSE
537,Indian,Temple Court,Cheap,Chelsea,9:00,17:00,2,FALSE
538,Thai,Temple Court,Cheap,Lower East Side,9:00,18:00,3,FALSE
539,Japanese,Bonqueria,Expensive,Tribeca,9:00,16:00,1,FALSE
540,Mexican,Tartinery,Medium,Tribeca,9:00,16:00,1,TRUE
541,Mexican,Chipotle,Expensive,Gramercy,9:00,20:00,3,TRUE
542,Spanish,Fish Cheeks,Expensive,Soho,11:00,20:00,3,TRUE
543,Japanese,Five Guys,Cheap,Tribeca,10:00,20:00,1,FALSE
544,Mexican,Fish Cheeks,Expensive,Greenwich Village,10:00,21:00,2,FALSE
545,Japanese,Bonqueria,Expensive,Little Italy,11:00,17:00,3,FALSE
546,Korean,Hello Saigon,Medium,Tribeca,11:00,17:00,1,TRUE
547,Indian,ilili,Expensive,Upper East Side,10:30,20:00,5,FALSE
548,Italian,Essential by Chris,Expensive,Upper East Side,10:00,17:00,4,FALSE
549,Japanese,Wendy's,Medium,Upper West Side,10:30,21:00,4,FALSE
550,Italian,Fish Cheeks,Medium,West Village,10:00,16:00,1,TRUE
551,Thai,Essential by Chris,Cheap,Little Italy,11:00,20:00,3,FALSE
552,Japanese,Su Jeo,Medium,Little Italy,9:00,18:00,3,TRUE
553,Japanese,Five Guys,Medium,Chelsea,11:30,21:00,5,FALSE
554,Korean,MayRee,Medium,Flushing,9:30,21:00,5,TRUE
555,Japanese,Bonqueria,Medium,Upper West Side,9:00,21:00,1,TRUE
556,Indian,Bo Ky,Medium,Flushing,9:30,18:00,1,FALSE
557,Chinese,Witherspoon Grill,Cheap,Upper East Side,11:00,21:00,4,TRUE
558,Korean,Take31,Medium,Tribeca,11:30,20:00,4,TRUE
559,Chinese,ilili,Expensive,Lower East Side,9:00,20:00,3,FALSE
560,Korean,MayRee,Medium,Upper East Side,9:30,17:00,5,TRUE
561,Japanese,Witherspoon Grill,Expensive,Tribeca,10:30,20:00,5,FALSE
562,Spanish,Don Angie,Medium,Upper West Side,10:00,18:00,1,TRUE
563,Mexican,Don Angie,Expensive,Greenwich Village,9:00,16:00,4,TRUE
564,Indian,Bo Ky,Expensive,Chelsea,10:00,16:00,4,FALSE
565,Korean,Su Jeo,Medium,Upper West Side,9:00,17:00,3,FALSE
566,Mexican,Tartinery,Expensive,Upper West Side,9:30,17:00,4,FALSE
567,Korean,Chipotle,Cheap,East Village,9:00,20:00,2,TRUE
568,Korean,Tartinery,Medium,East Village,9:00,18:00,4,FALSE
569,Italian,Bo Ky,Cheap,Greenwich Village,10:00,20:00,5,FALSE
570,Thai,Chipotle,Expensive,Little Italy,9:00,16:00,4,TRUE
571,Spanish,Gelso & Grand,Medium,Tribeca,9:00,16:00,3,FALSE
572,Indian,Su Jeo,Expensive,Chelsea,10:00,17:00,2,TRUE
573,Chinese,Five Guys,Cheap,West Village,10:00,18:00,4,FALSE
574,Spanish,Kimura,Medium,Tribeca,9:00,21:00,3,TRUE
575,Chinese,Don Angie,Cheap,Upper West Side,9:00,17:00,2,TRUE
576,Italian,Fish Cheeks,Expensive,Upper East Side,10:30,21:00,5,TRUE
577,Korean,Temple Court,Expensive,West Village,9:30,20:00,2,FALSE
578,Chinese,Wendy's,Cheap,Little Italy,10:00,17:00,3,TRUE
579,Mexican,Bo Ky,Expensive,Gramercy,9:30,17:00,2,TRUE
580,Korean,Antoya,Medium,Tribeca,9:00,20:00,5,FALSE
581,Thai,Tartinery,Medium,Lower East Side,11:30,18:00,3,FALSE
582,Spanish,Take31,Cheap,Upper West Side,10:00,17:00,2,FALSE
583,Japanese,Antoya,Cheap,West Village,11:00,16:00,2,TRUE
584,Korean,Chipotle,Medium,East Village,10:00,17:00,5,FALSE
585,Japanese,Tartinery,Medium,Chelsea,9:00,20:00,2,FALSE
586,Spanish,Hello Saigon,Cheap,Lower East Side,9:30,18:00,3,FALSE
587,Italian,Fish Cheeks,Expensive,East Village,9:00,18:00,3,FALSE
588,Spanish,Gelso & Grand,Medium,Chelsea,10:00,18:00,3,FALSE
589,Korean,Su Jeo,Expensive,Greenwich Village,10:00,18:00,2,FALSE
590,Thai,Chipotle,Cheap,West Village,11:30,20:00,4,FALSE
591,Thai,Tartinery,Cheap,Chelsea,9:00,17:00,2,FALSE
592,Indian,MayRee,Medium,Soho,10:00,20:00,4,TRUE
593,Japanese,Kimura,Cheap,Greenwich Village,10:00,17:00,3,FALSE
594,Mexican,Temple Court,Expensive,Gramercy,9:30,17:00,1,TRUE
595,Korean,Five Guys,Expensive,Soho,10:00,20:00,5,FALSE
596,Chinese,Essential by Chris,Medium,Lower East Side,9:30,21:00,2,FALSE
597,Japanese,Bonqueria,Medium,Tribeca,11:00,17:00,2,TRUE
598,Korean,Five Guys,Expensive,Chelsea,11:00,17:00,5,FALSE
599,Italian,Gelso & Grand,Cheap,Upper West Side,9:30,18:00,3,TRUE
600,Chinese,Essential by Chris,Expensive,Soho,10:00,18:00,4,TRUE
601,Italian,MayRee,Medium,Gramercy,11:30,20:00,4,FALSE
602,Chinese,Antoya,Expensive,Upper West Side,9:00,18:00,4,TRUE
603,Chinese,Witherspoon Grill,Cheap,Upper West Side,9:30,20:00,4,TRUE
604,Thai,Five Guys,Cheap,West Village,10:00,17:00,1,TRUE
605,Italian,Antoya,Cheap,Tribeca,10:30,20:00,3,TRUE
606,Chinese,Essential by Chris,Cheap,Soho,10:00,18:00,2,FALSE
607,Italian,Five Guys,Expensive,Chelsea,10:00,18:00,5,FALSE
608,Japanese,Big Wong,Medium,Upper East Side,10:30,21:00,3,TRUE
609,Japanese,Temple Court,Expensive,West Village,9:00,16:00,1,TRUE
610,Thai,ilili,Medium,Upper West Side,9:30,20:00,5,TRUE
611,Korean,Su Jeo,Expensive,Chelsea,9:30,18:00,4,FALSE
612,Mexican,Big Wong,Medium,Tribeca,9:30,16:00,5,FALSE
613,Italian,Chipotle,Medium,East Village,11:00,17:00,4,TRUE
614,Japanese,Bonqueria,Cheap,Lower East Side,10:00,21:00,5,FALSE
615,Korean,Big Wong,Expensive,Little Italy,10:00,16:00,5,TRUE
616,Thai,Fish Cheeks,Expensive,Lower East Side,10:00,20:00,5,TRUE
617,Japanese,Gelso & Grand,Expensive,Upper East Side,11:30,16:00,5,FALSE
618,Mexican,Don Angie,Cheap,Upper East Side,10:30,17:00,5,FALSE
619,Indian,Essential by Chris,Cheap,Upper East Side,10:30,20:00,3,FALSE
620,Japanese,Wendy's,Medium,Little Italy,9:30,16:00,4,FALSE
621,Korean,Big Wong,Expensive,Upper West Side,11:30,17:00,4,FALSE
622,Chinese,Kimura,Cheap,Little Italy,11:30,20:00,3,FALSE
623,Chinese,Su Jeo,Medium,Lower East Side,10:00,16:00,2,TRUE
624,Japanese,Take31,Expensive,Chelsea,11:30,17:00,3,FALSE
625,Thai,Hello Saigon,Expensive,East Village,10:00,16:00,2,TRUE
626,Korean,Essential by Chris,Expensive,Little Italy,10:00,21:00,2,FALSE
627,Spanish,ilili,Expensive,Little Italy,9:00,17:00,1,FALSE
628,Mexican,Chipotle,Expensive,Greenwich Village,9:00,18:00,1,FALSE
629,Japanese,Fish Cheeks,Cheap,Tribeca,11:00,21:00,5,FALSE
630,Indian,Take31,Cheap,Little Italy,11:00,17:00,4,FALSE
631,Korean,Witherspoon Grill,Cheap,Upper East Side,11:00,17:00,1,TRUE
632,Italian,Tartinery,Medium,Soho,11:30,18:00,4,TRUE
633,Italian,Su Jeo,Medium,Upper East Side,9:00,17:00,5,TRUE
634,Mexican,Five Guys,Expensive,Greenwich Village,9:00,20:00,3,TRUE
635,Japanese,Fish Cheeks,Expensive,Chelsea,10:00,18:00,3,FALSE
636,Chinese,Gelso & Grand,Expensive,Chelsea,10:00,20:00,2,FALSE
637,Thai,Five Guys,Expensive,Upper West Side,9:00,17:00,2,TRUE
638,Japanese,Fish Cheeks,Cheap,West Village,11:30,20:00,1,FALSE
639,Indian,Gelso & Grand,Medium,Upper West Side,11:30,20:00,5,TRUE
640,Spanish,Gelso & Grand,Expensive,Tribeca,11:00,20:00,2,FALSE
641,Korean,Hello Saigon,Expensive,Upper West Side,9:00,21:00,4,FALSE
642,Chinese,Antoya,Cheap,East Village,9:00,17:00,5,FALSE
643,Indian,Tartinery,Cheap,Flushing,11:00,16:00,5,TRUE
644,Thai,Bo Ky,Expensive,Greenwich Village,10:00,20:00,2,FALSE
645,Japanese,Witherspoon Grill,Expensive,Gramercy,9:30,18:00,1,FALSE
646,Mexican,Witherspoon Grill,Expensive,East Village,11:30,17:00,3,TRUE
647,Korean,Wendy's,Cheap,West Village,11:00,20:00,3,FALSE
648,Chinese,ilili,Cheap,Upper West Side,9:00,21:00,2,FALSE
649,Spanish,Bonqueria,Expensive,Chelsea,10:00,16:00,2,TRUE
650,Chinese,Bo Ky,Expensive,Lower East Side,9:30,21:00,4,TRUE
651,Chinese,ilili,Cheap,West Village,9:00,18:00,3,TRUE
652,Indian,Witherspoon Grill,Cheap,Greenwich Village,11:00,17:00,5,TRUE
653,Indian,Tartinery,Expensive,East Village,10:00,18:00,1,TRUE
654,Italian,Fish Cheeks,Cheap,West Village,10:00,17:00,5,TRUE
655,Indian,Five Guys,Medium,Tribeca,9:00,17:00,2,TRUE
656,Japanese,Su Jeo,Cheap,Chelsea,9:30,18:00,1,FALSE
657,Japanese,Take31,Medium,Gramercy,10:30,17:00,5,FALSE
658,Italian,Su Jeo,Cheap,Tribeca,9:30,17:00,5,FALSE
659,Thai,Witherspoon Grill,Medium,West Village,10:30,21:00,4,TRUE
660,Thai,Hello Saigon,Expensive,Greenwich Village,10:00,20:00,1,TRUE
661,Thai,ilili,Cheap,Lower East Side,11:30,18:00,3,TRUE
662,Thai,Bo Ky,Cheap,Upper West Side,9:30,20:00,4,FALSE
663,Thai,Don Angie,Medium,Chelsea,9:00,20:00,2,TRUE
664,Mexican,Don Angie,Medium,Upper West Side,9:00,17:00,5,FALSE
665,Chinese,Chipotle,Medium,Flushing,9:30,20:00,1,TRUE
666,Indian,Big Wong,Expensive,Flushing,10:00,21:00,5,FALSE
667,Mexican,Hello Saigon,Cheap,Little Italy,11:00,20:00,4,TRUE
